Continent	sample_number	mean	median	standard_deviation	Q1	Q3	minimum	maximum
Asia	1663	0.0901436437511275	0.0879645698952158	0.774648459951931	-0.290583257248722	0.637152010995943	-4.5820314000305	1.7495636803916
Africa	218	0.181303029532688	0.228225558229018	0.484268590782103	-0.0008148269653374	0.433033788210425	-4.6288114784641	1.63152904821221
Europe	1039	0.213760679747528	0.316247761607376	0.772361386737023	-0.144361280442135	0.728642279569985	-4.59671767132546	1.79568894530763
North_America	777	-0.445748434549191	-0.28177541781571	0.920962182074774	-0.863514773990013	0.139209385859114	-4.56798846734778	2.01316366645887
Oceania	135	0.121433122587675	0.185841477433579	0.391644955503684	-0.043810123325704	0.359225391919985	-1.99811013451304	0.809956383802013
South_America	185	-0.440957968424588	-0.369411578666543	0.572737689286229	-0.787840463917903	-0.0149760358170461	-2.51430528676828	1.5278376202913
