term	estimate	standard_error	t_value	p_value
(Intercept)	-20.245911056645	0.542793433152813	-37.2994767807834	1.05099859022683e-261
log_nReads	-0.0363717897187541	0.0697579541552021	-0.521399891370548	0.60211699913926
log_sum_len	3.72939792530294	0.156923691955893	23.7656779471589	6.38769338916922e-117
log_num_seqs	-1.14678513138317	0.127070217965172	-9.02481438803775	2.73335649733835e-19
