"length_bin","n","proportion","percent"
"5-10",130,0.324189526184539,32.4189526184539
"10-20",166,0.413965087281795,41.3965087281795
"20-30",30,0.0748129675810474,7.48129675810474
"30-40",32,0.0798004987531172,7.98004987531172
"40-50",17,0.0423940149625935,4.23940149625935
"50-100",19,0.0473815461346633,4.73815461346633
">=100",7,0.0174563591022444,1.74563591022444
