comparison_level	dataset	scope	feature	top10_threshold_ARG_annotations	denominator_MAG_count	MAG_count	annotation_count	annotation_percent	unique_ARG_name_count	multidrug_ARG_annotation_count	multidrug_ARG_percent_within_feature
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	phosphonic acid antibiotic	48	159	158	293	3.62983151635282	7	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	beta-lactam	48	159	158	221	2.73785926660059	29	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	nitroimidazole antibiotic	48	159	153	153	1.89544103072349	1	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	sulfonamide antibiotic	48	159	36	37	0.458374628344896	3	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	phenicol antibiotic	48	159	22	34	0.421209117938553	9	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	diaminopyrimidine antibiotic	48	159	25	25	0.309712586719524	4	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	elfamycin antibiotic	48	159	18	19	0.235381565906838	1	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	MLS	48	159	7	11	0.136273538156591	7	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	bicyclomycin antibiotic	48	159	6	6	0.0743310208126858	1	NA	NA
ARG_type	Pseudomonadota AR-MAG	high_ARG_AR_MAGs_top10pct	nitrofuran antibiotic	48	159	3	3	0.0371655104063429	1	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	multidrug	64	353	353	10084	41.7401382507554	87	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	aminoglycoside antibiotic	64	353	353	2384	9.86795811084896	37	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	fluoroquinolone antibiotic	64	353	353	1854	7.67415869862163	18	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	peptide antibiotic	64	353	353	1756	7.26851276956828	21	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	tetracycline antibiotic	64	353	352	1441	5.96465085475392	10	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	aminocoumarin antibiotic	64	353	352	1051	4.35034562688853	3	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	nucleoside antibiotic	64	353	349	1039	4.30067469680036	4	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	beta-lactam	64	353	353	945	3.91158574444307	50	NA	NA
ARG_type	Livestock isolate Pseudomonadota	high_ARG_isolates_top10pct	phosphonic acid antibiotic	64	353	353	806	3.33623080425514	11	NA	NA
