Shannon	Antimicrobial_usage_in_livestock	Scale_of_livestock_breeding	Agricultural_production	Economic_level	Livestock_feces_production	Pesticides_usage	Livestock_meat_production	Fertilization_of_livestock_manure	Human_population
5.12465	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.69073	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.48039	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.87476	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.00548	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.02934	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.22132	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.16248	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.99011	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.98701	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.13426	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.63423	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.20294	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.3379	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.38172	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.35322	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.66584	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.11651	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.03053	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.40099	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.43053	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.76203	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.93315	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.74352	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.03004	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.01488	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.00133	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.2824	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.46615	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.82086	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.2209	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.94562	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.73928	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.2624	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.51138	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.32236	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.82442	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.34877	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.51663	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.97934	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.32268	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
7.16645	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.60387	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.8063	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.48986	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
3.78104	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.12023	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.92978	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.69372	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.35347	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
1.44528	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.06015	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.94512	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.57903	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
3.94323	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.9882	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
3.61073	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
3.25672	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.22099	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
3.97779	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.22108	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.12634	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.53994	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.46549	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
3.59179	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.76323	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.55291	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.8561	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.68272	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.74689	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
4.63351	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.0265	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
5.9091	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
6.46325	392.55467	5679372725	110065187.0	9877.591533	8120040770.0	2.17	164335	3429128144.0	1448928.199
